  0   -0.000  -20.005    3.000 20141110105351.300    0.000
  1    0.000  -19.605    3.000 20141111105351.300    0.000
  2   -0.000  -19.193    3.000 20141112105351.300    0.000
  3    0.000  -18.793    3.000 20141113105351.300    0.000
  4    0.000  -18.393    3.000 20141114105351.300    0.000
  5   -0.000  -17.982    3.000 20141115105351.300    0.000
  6    0.000  -17.582    3.000 20141116105351.300    0.000
  7   -0.000  -17.182    3.000 20141117105351.300    0.000
  8    0.000  -16.771    3.000 20141118105351.300    0.000
  9   -0.000  -16.371    3.000 20141119105351.300    0.000
 10    0.000  -15.959    3.000 20141120105351.300    0.000
 11    0.000  -15.559    3.000 20141121105351.300    0.000
 12    0.000  -15.159    3.000 20141122105351.300    0.000
 13   -0.000  -14.748    3.000 20141123105351.300    0.000
 14   -0.000  -14.348    3.000 20141124105351.300    0.000
 15    0.000  -13.948    3.000 20141125105351.300    0.000
 16    0.000  -13.537    3.000 20141126105351.300    0.000
 17   -0.000  -13.136    3.000 20141127105351.300    0.000
 18    0.000  -12.736    3.000 20141128105351.300    0.000
 19    0.000  -12.325    3.000 20141129105351.300    0.000
 20    0.000  -11.925    3.000 20141130105351.300    0.000
 21   -0.000  -11.514    3.000 20141201105351.300    0.000
 22    0.000  -11.114    3.000 20141202105351.300    0.000
 23    0.000  -10.714    3.000 20141203105351.300    0.000
 24   -0.000  -10.303    3.000 20141204105351.300    0.000
 25   -0.000   -9.902    3.000 20141205105351.300    0.000
 26   -0.000   -9.502    3.000 20141206105351.300    0.000
 27   -0.000   -9.091    3.000 20141207105351.300    0.000
 28   -0.000   -8.691    3.000 20141208105351.300    0.000
 29    0.000   -8.291    3.000 20141209105351.300    0.000
 30   -0.000   -7.880    3.000 20141210105351.300    0.000
 31    0.000   -7.480    3.000 20141211105351.300    0.000
 32   -0.000   -7.068    3.000 20141212105351.300    0.000
 33   -0.000   -6.668    3.000 20141213105351.300    0.000
 34   -0.000   -6.268    3.000 20141214105351.300    0.000
 35   -0.000   -5.857    3.000 20141215105351.300    0.000
 36    0.000   -5.457    3.000 20141216105351.300    0.000
 37    0.000   -5.057    3.000 20141217105351.300    0.000
 38    0.000   -4.646    3.000 20141218105351.300    0.000
 39   -0.000   -4.245    3.000 20141219105351.300    0.000
 40    0.000   -3.834    3.000 20141220105351.300    0.000
 41   -0.000   -3.434    3.000 20141221105351.300    0.000
 42   -0.000   -3.034    3.000 20141222105351.300    0.000
 43    0.000   -2.623    3.000 20141223105351.300    0.000
 44   -0.000   -2.223    3.000 20141224105351.300    0.000
 45    0.000   -1.823    3.000 20141225105351.300    0.000
 46   -0.000   -1.411    3.000 20141226105351.300    0.000
 47    0.000   -1.011    3.000 20141227105351.300    0.000
 48    0.000   -0.611    3.000 20141228105351.300    0.000
 49   -0.000   -0.200    3.000 20141229105351.300    0.000
 50    0.000    0.200    3.000 20141230105351.300    0.000
 51   -0.000    0.611    3.000 20141231105351.300    0.000
 52    0.000    1.011    3.000 20150101105351.300    0.000
 53   -0.000    1.411    3.000 20150102105351.300    0.000
 54    0.000    1.823    3.000 20150103105351.300    0.000
 55   -0.000    2.223    3.000 20150104105351.300    0.000
 56    0.000    2.623    3.000 20150105105351.300    0.000
 57    0.000    3.034    3.000 20150106105351.300    0.000
 58   -0.000    3.434    3.000 20150107105351.300    0.000
 59   -0.000    3.834    3.000 20150108105351.300    0.000
 60   -0.000    4.246    3.000 20150109105351.300    0.000
 61    0.000    4.646    3.000 20150110105351.300    0.000
 62   -0.000    5.057    3.000 20150111105351.300    0.000
 63    0.000    5.457    3.000 20150112105351.300    0.000
 64   -0.000    5.857    3.000 20150113105351.300    0.000
 65    0.000    6.268    3.000 20150114105351.300    0.000
 66    0.000    6.668    3.000 20150115105351.300    0.000
 67   -0.000    7.068    3.000 20150116105351.300    0.000
 68    0.000    7.480    3.000 20150117105351.300    0.000
 69    0.000    7.880    3.000 20150118105351.300    0.000
 70    0.000    8.280    3.000 20150119105351.300    0.000
 71    0.000    8.691    3.000 20150120105351.300    0.000
 72   -0.000    9.091    3.000 20150121105351.300    0.000
 73    0.000    9.502    3.000 20150122105351.300    0.000
 74   -0.000    9.903    3.000 20150123105351.300    0.000
 75    0.000   10.303    3.000 20150124105351.300    0.000
 76    0.000   10.714    3.000 20150125105351.300    0.000
